Temp_C,dt_s
25.5,19.67
26.0,16.60
26.5,16.50
27.0,16.56
27.5,16.63
28.0,17.90
28.5,18.34
29.0,18.70
29.5,19.84
30.0,21.24
30.5,22.22
31.0,24.68
31.5,26.74
