Temp_C,dt_s
25.0,17.94
25.5,18.56
26.0,18.83
26.5,18.70
27.0,19.68
27.5,20.75
28.0,21.11
28.5,22.51
29.0,23.59
29.5,24.69
30.0,26.23
30.5,28.08
