Temp_C,dt_s
25.0,16.82
25.5,16.59
26.0,16.83
26.5,16.86
27.0,17.21
27.5,17.91
28.0,18.86
28.5,19.34
29.0,20.36
29.5,22.10
30.0,23.51
30.5,24.42
