Temp_C,dt_s
25.5,19.34
26.0,19.31
26.5,19.71
27.0,20.35
27.5,21.10
28.0,20.31
28.5,22.09
29.0,22.85
29.5,23.48
30.0,24.54
30.5,26.99
31.0,29.83
31.5,32.61
